sitio,disp_1,disp_2,disp_3
P,32,26.66667,10
P,11.33333,16.66667,10
P,40.66667,40,33.33333
P,26,15,13.33333
P,29.33333,18.33333,0
P,34,30,6.66667
P,11.33333,10,13.33333
P,20,30,23.33333
P,49.33333,45,43.33333
BM,78,58.33333,83.33333
BM,72.66667,73.33333,76.66667
BM,82.66667,83.33333,83.33333
BM,62.66667,46.66667,46.66667
BM,49.33333,53.33333,46.66667
BM,71.33333,58.33333,63.33333
BM,52.66667,40,43.33333
BM,80.66667,86.66667,83.33333
BM,32.66667,21.66667,23.33333
BS,100,100,100
BS,93.33333,68.33333,83.33333
BS,100,100,100
BS,100,100,100
BS,87.33333,68.33333,86.66667
BS,78.66667,60,63.33333
BS,92.66667,76.66667,73.33333
BS,83.33333,71.66667,50
BS,78.66667,80,70
P2,32,26.66667,10
P2,11.33333,16.66667,10
P2,40.66667,40,33.33333
P2,26,15,13.33333
P2,29.33333,18.33333,0
P2,34,30,6.66667
P2,11.33333,10,13.33333
P2,20,30,23.33333
P2,49.33333,45,43.33333
BM2,78,58.33333,83.33333
BM2,72.66667,73.33333,76.66667
BM2,82.66667,83.33333,83.33333
BM2,62.66667,46.66667,46.66667
BM2,49.33333,53.33333,46.66667
BM2,71.33333,58.33333,63.33333
BM2,52.66667,40,43.33333
BM2,80.66667,86.66667,83.33333
BM2,32.66667,21.66667,23.33333
BS2,100,100,100
BS2,93.33333,68.33333,83.33333
BS2,100,100,100
BS2,100,100,100
BS2,87.33333,68.33333,86.66667
BS2,78.66667,60,63.33333
BS2,92.66667,76.66667,73.33333
BS2,83.33333,71.66667,50
BS2,78.66667,80,70
P3,32,26.66667,10
P3,11.33333,16.66667,10
P3,40.66667,40,33.33333
P3,26,15,13.33333
P3,29.33333,18.33333,0
P3,34,30,6.66667
P3,11.33333,10,13.33333
P3,20,30,23.33333
P3,49.33333,45,43.33333
BM3,78,58.33333,83.33333
BM3,72.66667,73.33333,76.66667
BM3,82.66667,83.33333,83.33333
BM3,62.66667,46.66667,46.66667
BM3,49.33333,53.33333,46.66667
BM3,71.33333,58.33333,63.33333
BM3,52.66667,40,43.33333
BM3,80.66667,86.66667,83.33333
BM3,32.66667,21.66667,23.33333
BS3,100,100,100
BS3,93.33333,68.33333,83.33333
BS3,100,100,100
BS3,100,100,100
BS3,87.33333,68.33333,86.66667
BS3,78.66667,60,63.33333
BS3,92.66667,76.66667,73.33333
BS3,83.33333,71.66667,50
BS3,78.66667,80,70
